Test number,Path,File name,Image description,Text,Comments,Language,tessedit_char_blacklist=,tessedit_char_unblacklist=,tessedit_char_whitelist=,page_separator=
1,images,1_testType_file_format_Arial_20.png,"empty picture, .png format ",,"file format pictures (size 20, Arial font)",eng,None,None,None,None
2,images,2_testType_file_format_Arial_20.png,"all english letters, .png format ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None
3,images,3_testType_file_format_Arial_20.jpeg,"empty picture, .jpeg format ",,,eng,None,None,None,None
4,images,4_testType_file_format_Arial_20.jpeg,"all english letters, .jpeg format ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None
5,images,5_testType_file_format_Arial_20.jpg,"empty picture,, .jpg format ",,,eng,None,None,None,None
6,images,6_testType_file_format_Arial_20.jpg,"all english letters, .jpg format ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
",,eng,None,None,None,None
7,images,7_testType_sub_lang_Arial_20.png,all English letters,"abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
","languages pictures (size 20, Arial font, .png file format)",eng,None,None,None,None
8,images,8_testType_sub_lang_Arial_20.png,all Hebrew letters,"אבגדהוזחטיכלמנסעפצקרשתםףץן
",,heb,None,None,None,None
9,images,9_testType_sub_lang_Arial_20.png,all Swedish letters,"bcdfghjklmnp
qrstvwxzaeiouyåäö
ÅÄÖABCDEFGHIJKLM
NOPQRSTUVWXYZ
",,swe,None,None,None,None
10,images,10_testType_sub_lang_Arial_20.png,all Spanish letters,"ñabcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZÑ",,spa,None,None,None,None
11,images,11_testType_sub_lang_Arial_20.png,all digits ,"0123456789
",,,None,None,None,None
12,images,12_testType_sub_lang_Arial_20.png,all special characters,"~,`!@#$%^&*()-_+={}[]|\\/:;""<>.?\
",,,None,None,None,None
13,images,13_testType_sub_lang_Arial_20.png,all English and Hebrew letters,"abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
אבגדהוזחטיכלמנסעפצקרשתםףץן
",,eng+heb,None,None,None,None
14,images,14_testType_sub_lang_Arial_20.png,all English and Swedish letters,"abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
bcdfghjklmnp
qrstvwxzaeiouyåäö
ÅÄÖABCDEFGHIJKLM
NOPQRSTUVWXYZ
",,eng+swe,None,None,None,None
15,images,15_testType_sub_lang_Arial_20.png,all English and Spanish letters,"abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
ñabcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZÑ",,eng+spa,None,None,None,None
16,images,16_testType_sub_lang_Arial_20.png,all English letters and all digits,"abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
0123456789
",,eng,None,None,None,None
17,images,17_testType_sub_lang_Arial_20.png,all English letters and all special characters,"abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
~,`!@#$%^&*()-_+={}[]|\\/:;""<>.?\
",,eng,None,None,None,None
18,images,18_testType_sub_lang_Arial_20.png,all Hebrew and Swedish letters,"אבגדהוזחטיכלמנסעפצקרשתםףץן
bcdfghjklmnp
qrstvwxzaeiouyåäö
ÅÄÖABCDEFGHIJKLM
NOPQRSTUVWXYZ
",,heb+swe,None,None,None,None
19,images,19_testType_sub_lang_Arial_20.png,all Hebrew and Spanish letters,"אבגדהוזחטיכלמנסעפצקרשתםףץן
ñabcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZÑ",,heb+spa,None,None,None,None
20,images,20_testType_sub_lang_Arial_20.png,all Hebrew letters and all digits,"אבגדהוזחטיכלמנסעפצקרשתםףץן
0123456789
",,heb,None,None,None,None
21,images,21_testType_sub_lang_Arial_20.png,all Hebrew letters and all special characters,"אבגדהוזחטיכלמנסעפצקרשתםףץן
~,`!@#$%^&*()-_+={}[]|\\/:;""<>.?\
",,heb,None,None,None,None
22,images,22_testType_sub_lang_Arial_20.png,all Swedish and Spanish letters,"bcdfghjklmnp
qrstvwxzaeiouyåäö
ÅÄÖABCDEFGHIJKLM
NOPQRSTUVWXYZ
ñabcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZÑ",,swe+spa,None,None,None,None
23,images,23_testType_sub_lang_Arial_20.png,all Swedish and all digits,"bcdfghjklmnp
qrstvwxzaeiouyåäö
ÅÄÖABCDEFGHIJKLM
NOPQRSTUVWXYZ
0123456789
",,swe,None,None,None,None
24,images,24_testType_sub_lang_Arial_20.png,all Swedish and all special characters,"bcdfghjklmnp
qrstvwxzaeiouyåäö
ÅÄÖABCDEFGHIJKLM
NOPQRSTUVWXYZ
~,`!@#$%^&*()-_+={}[]|\\/:;""<>.?\
",,swe,None,None,None,None
25,images,25_testType_sub_lang_Arial_20.png,all Spanish and all digits,"ñabcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZÑ0123456789
",,spa,None,None,None,None
26,images,26_testType_sub_lang_Arial_20.png,all Spanish and all special characters,"ñabcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZÑ~,`!@#$%^&*()-_+={}[]|\\/:;""<>.?\
",,spa,None,None,None,None
27,images,27_testType_sub_lang_Arial_20.png,all digits and all special characters,"0123456789
~,`!@#$%^&*()-_+={}[]|\\/:;""<>.?\
",,,None,None,None,None
28,images,28_testType_sub_lang_Arial_20.png,"all English, Hebrew and Swedish letters","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
אבגדהוזחטיכלמנסעפצקרשתםףץן
bcdfghjklmnp
qrstvwxzaeiouyåäö
ÅÄÖABCDEFGHIJKLM
NOPQRSTUVWXYZ
",,eng+heb+swe,None,None,None,None
29,images,29_testType_sub_lang_Arial_20.png,"all English, Hebrew and Spanish letters","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
אבגדהוזחטיכלמנסעפצקרשתםףץן
ñabcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZÑ",,eng+heb+spa,None,None,None,None
30,images,30_testType_sub_lang_Arial_20.png,all English and Hebrew letters and all digits  ,"abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
אבגדהוזחטיכלמנסעפצקרשתםףץן
0123456789
",,eng+heb,None,None,None,None
31,images,31_testType_sub_lang_Arial_20.png,all English and Hebrew letters and all special characters  ,"abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
אבגדהוזחטיכלמנסעפצקרשתםףץן
~,`!@#$%^&*()-_+={}[]|\\/:;""<>.?\
",,eng+heb,None,None,None,None
32,images,32_testType_sub_lang_Arial_20.png,"all English, Swedish and Spanish letters  ","abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
bcdfghjklmnp
qrstvwxzaeiouyåäö
ÅÄÖABCDEFGHIJKLM
NOPQRSTUVWXYZ
ñabcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZÑ",,eng+swe+spa,None,None,None,None
33,images,33_testType_sub_lang_Arial_20.png,all English and Swedish letters and all digits  ,"abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
bcdfghjklmnp
qrstvwxzaeiouyåäö
ÅÄÖABCDEFGHIJKLM
NOPQRSTUVWXYZ
0123456789
",,eng+swe,None,None,None,None
34,images,34_testType_sub_lang_Arial_20.png,all English and Swedish letters and all special characters  ,"abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
bcdfghjklmnp
qrstvwxzaeiouyåäö
ÅÄÖABCDEFGHIJKLM
NOPQRSTUVWXYZ
~,`!@#$%^&*()-_+={}[]|\\/:;""<>.?\
",,eng+swe,None,None,None,None
35,images,35_testType_sub_lang_Arial_20.png,all English and Spanish letters and all digits  ,"abcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZ
ñabcdefghijkl
mnopqrstuvwxyz
ABCDEFGHIJKLMN
OPQRSTUVWXYZÑ0123456789
",,eng+spa,None,None,None,None
